Gene_stable_ID	GC_content	NCBI_gene_ID	HGNC_symbol	HGNC_ID
ENSG00000210049	40.85		MT-TF	HGNC:7481
ENSG00000211459	45.49		MT-RNR1	HGNC:7470
ENSG00000210077	42.03		MT-TV	HGNC:7500
ENSG00000210082	42.81		MT-RNR2	HGNC:7471
ENSG00000209082	38.67		MT-TL1	HGNC:7490
ENSG00000198888	47.70	4535	MT-ND1	HGNC:7455
ENSG00000210100	28.99		MT-TI	HGNC:7488
ENSG00000210107	48.61		MT-TQ	HGNC:7495
ENSG00000210112	45.59		MT-TM	HGNC:7492
ENSG00000198763	42.99	4536	MT-ND2	HGNC:7456
ENSG00000210117	35.29		MT-TW	HGNC:7501
ENSG00000210127	43.48		MT-TA	HGNC:7475
ENSG00000210135	41.10		MT-TN	HGNC:7493
ENSG00000210140	45.45		MT-TC	HGNC:7477
ENSG00000210144	42.42		MT-TY	HGNC:7502
ENSG00000198804	46.24	4512	MT-CO1	HGNC:7419
ENSG00000210151	49.28	113219467	MT-TS1	HGNC:7497
ENSG00000210154	23.53		MT-TD	HGNC:7478
ENSG00000198712	46.20	4513	MT-CO2	HGNC:7421
ENSG00000210156	32.86		MT-TK	HGNC:7489
ENSG00000228253	39.61	4509	MT-ATP8	HGNC:7415
ENSG00000198899	44.20	4508	MT-ATP6	HGNC:7414
ENSG00000198938	46.56	4514	MT-CO3	HGNC:7422
ENSG00000210164	26.47		MT-TG	HGNC:7486
ENSG00000198840	40.17	4537	MT-ND3	HGNC:7458
ENSG00000210174	23.08		MT-TR	HGNC:7496
ENSG00000212907	43.10	4539	MT-ND4L	HGNC:7460
ENSG00000198886	44.27	4538	MT-ND4	HGNC:7459
ENSG00000210176	36.23		MT-TH	HGNC:7487
ENSG00000210184	45.76		MT-TS2	HGNC:7498
ENSG00000210191	35.21		MT-TL2	HGNC:7491
ENSG00000198786	44.92	4540	MT-ND5	HGNC:7461
ENSG00000198695	42.67	4541	MT-ND6	HGNC:7462
ENSG00000210194	39.13		MT-TE	HGNC:7479
ENSG00000198727	46.28	4519	MT-CYB	HGNC:7427
ENSG00000210195	37.88		MT-TT	HGNC:7499
ENSG00000210196	33.82		MT-TP	HGNC:7494
ENSG00000278294	51.32			
ENSG00000271254	44.36	102724250		
ENSG00000281806	42.31			
ENSG00000278704	47.38			
ENSG00000277995	35.65			
ENSG00000275151	39.89			
ENSG00000278457	58.82			
ENSG00000274882	34.93		LINC02109	HGNC:52964
ENSG00000280538	43.46			
ENSG00000281362	44.05	339822		
ENSG00000279969	32.83			
ENSG00000277044	60.52	4987	OPRL1	HGNC:8155
ENSG00000277339	62.65	2832	NPBWR2	HGNC:4530
ENSG00000280695	53.83			
ENSG00000276876	54.58	4661	MYT1	HGNC:7622
ENSG00000275018	51.51			
ENSG00000280663	44.58	55251	PCMTD2	HGNC:15882
ENSG00000275531	51.68			
ENSG00000262767	45.45		GEMIN2P1	HGNC:49561
ENSG00000276295	51.68			
ENSG00000262994	45.61			
ENSG00000262469	44.12			
ENSG00000262826	48.32	65123	INTS3	HGNC:26153
ENSG00000277570	56.23		LILRP1	HGNC:15496
ENSG00000276306	54.23			
ENSG00000275442	44.33	79166	LILRP2	HGNC:15497
ENSG00000274696	48.06	115653	KIR3DL3	HGNC:16312
ENSG00000276307	56.23		LILRP1	HGNC:15496
ENSG00000273918	54.23			
ENSG00000273883	44.33	79166	LILRP2	HGNC:15497
ENSG00000274339	56.23		LILRP1	HGNC:15496
ENSG00000276808	54.23			
ENSG00000274861	44.33	79166	LILRP2	HGNC:15497
ENSG00000274763	48.99	115653	KIR3DL3	HGNC:16312
ENSG00000276099	51.68		LILRP1	HGNC:15496
ENSG00000273502	48.84	115653	KIR3DL3	HGNC:16312
ENSG00000274120	44.33	79166	LILRP2	HGNC:15497
ENSG00000275172	48.98	115653	KIR3DL3	HGNC:16312
ENSG00000274788	40.09	79166	LILRP2	HGNC:15497
ENSG00000274480	48.88	115653	KIR3DL3	HGNC:16312
ENSG00000277484	48.04	3804	KIR2DL3	HGNC:6331
ENSG00000276806	48.98	115653	KIR3DL3	HGNC:16312
ENSG00000278325	56.23		LILRP1	HGNC:15496
ENSG00000275112	56.23		LILRP1	HGNC:15496
ENSG00000276974	54.23			
ENSG00000274130	54.23			
ENSG00000274271	56.23		LILRP1	HGNC:15496
ENSG00000278788	62.60	22904	SBNO2	HGNC:29158
ENSG00000275433	48.22	115653	KIR3DL3	HGNC:16312
ENSG00000274891	48.00	51112	TRAPPC12	HGNC:24284
ENSG00000274826	44.33	79166	LILRP2	HGNC:15497
ENSG00000277267	44.33	79166	LILRP2	HGNC:15497
ENSG00000276247	44.33	79166	LILRP2	HGNC:15497
ENSG00000275623	48.23	3804	KIR2DL3	HGNC:6331
ENSG00000273947	48.02	3804	KIR2DL3	HGNC:6331
ENSG00000278614	49.17		KIR2DP1	HGNC:16344
ENSG00000278339	49.08		KIR2DP1	HGNC:16344
ENSG00000276433	48.87	115653	KIR3DL3	HGNC:16312
ENSG00000278821	48.32	3802	KIR2DL1	HGNC:6329
ENSG00000277620	48.97	115653	KIR3DL3	HGNC:16312
ENSG00000276930	49.00	115653	KIR3DL3	HGNC:16312
ENSG00000276218	48.06	3804	KIR2DL3	HGNC:6331
ENSG00000277240	56.23		LILRP1	HGNC:15496
ENSG00000276425	48.25			
ENSG00000276324	54.23			
ENSG00000273510	48.28	3802	KIR2DL1	HGNC:6329
ENSG00000277963	44.33	79166	LILRP2	HGNC:15497
ENSG00000273578	48.25			
ENSG00000274912	49.20		KIR2DP1	HGNC:16344
ENSG00000277921	56.23		LILRP1	HGNC:15496
ENSG00000274009	54.23			
ENSG00000275513	48.95	115653	KIR3DL3	HGNC:16312
ENSG00000274842	44.33	79166	LILRP2	HGNC:15497
ENSG00000276310	48.42	3802	KIR2DL1	HGNC:6329
ENSG00000276212	45.40		KIR3DP1	HGNC:16343
ENSG00000274556	49.00	115653	KIR3DL3	HGNC:16312
ENSG00000273881	56.23		LILRP1	HGNC:15496
ENSG00000280770	41.80			
ENSG00000277940	54.23			
ENSG00000263130	45.28			
ENSG00000281723	44.96			
ENSG00000275289	44.33	79166	LILRP2	HGNC:15497
ENSG00000275452	47.77	100132285	KIR2DS2	HGNC:6334
ENSG00000263275	45.64			
